Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Health Services,PUBL HLTH SANITARIAN TRAINEE,Association of Municipal Employees (AME-White Collar),1723.7,0.0,0.0,2097.27,2021/10/12 00:00:00+00,373.57,2022/01/10 00:00:00+00
Public Works,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),20643.4,0.0,0.0,20755.82,2022/06/01 00:00:00+00,0.0,
Law,SR ASSISTANT COUNTY ATTY,Management,89452.2,0.0,0.0,90598.62,2017/01/03 00:00:00+00,0.0,
Legislature,COUNTY LEGISLATOR,Management,102934.0,0.0,0.0,105187.42,2013/01/24 00:00:00+00,0.0,
Board Of Elections,ELECTION CLERK 05,Board of Elections,61184.99,1750.0,15471.46,84125.87,2007/09/24 00:00:00+00,0.0,
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),75418.8,0.0,1939.79,78367.01,2013/07/08 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1346.51,0.0,0.0,1346.51,2022/05/01 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD (Temporary),Temp,740.0,0.0,0.0,740.0,2022/03/11 00:00:00+00,0.0,2022/03/31 00:00:00+00
Probation,PROBATION SUPERVISOR,Probation Officers Association (POA),3874.5,2600.0,0.0,68622.1,1989/07/10 00:00:00+00,43978.04,2022/01/06 00:00:00+00
Social Services,CASEWORK SUPERVISOR,Association of Municipal Employees (AME-White Collar),94384.14,2600.0,0.0,101817.56,1991/04/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1627.5,0.0,0.0,1627.5,2022/05/01 00:00:00+00,0.0,
Civil Service,PRIN PERSONNEL ANALYST,Association of Municipal Employees (AME-White Collar),109811.8,2250.0,0.0,117755.22,2001/11/13 00:00:00+00,0.0,
Police,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60657.0,2600.0,11014.17,77423.59,1992/12/30 00:00:00+00,0.0,
Economic Develop & Planning,MARKETING SPECIALIST,Association of Municipal Employees (AME-White Collar),85838.0,0.0,0.0,86922.42,2016/02/29 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),23578.73,0.0,5366.81,31876.44,2022/05/16 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,2722.5,0.0,0.0,2722.5,2022/10/12 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),116601.71,2750.0,39752.0,173812.15,2003/11/03 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),76016.14,0.0,13049.86,110481.79,2017/10/03 00:00:00+00,0.0,
County Clerk,MICROGRAPHICS TECHNICIAN,Association of Municipal Employees (AME-White Collar),60657.0,2600.0,0.0,66409.42,1986/09/22 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),78123.3,0.0,5290.68,100696.68,2017/10/23 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),103782.88,1950.0,40175.98,160686.33,2011/04/25 00:00:00+00,0.0,
Police,RESEARCH ANALYST,Association of Municipal Employees (AME-White Collar),79905.59,1750.0,0.0,85813.01,2006/08/14 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),17990.1,1458.33,275.04,23013.74,2004/05/05 00:00:00+00,0.0,
County Clerk,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),34328.4,0.0,1377.85,35818.67,2015/04/20 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),42747.13,0.0,14693.98,61875.69,2021/04/12 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,641.25,0.0,0.0,641.25,2022/05/01 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),105382.6,0.0,132425.4,257061.01,1998/11/09 00:00:00+00,0.0,
EMHP,OFFICE ASSISTANT,Temp,210.0,0.0,0.0,210.0,2021/12/17 00:00:00+00,0.0,2022/03/07 00:00:00+00
Probation,PRIN PROBATION OFFICER,Probation Officers Association (POA),128171.6,2400.0,0.0,132668.2,1995/12/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1607.5,0.0,0.0,1607.5,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),49182.0,3250.0,37113.65,106511.86,1999/08/02 00:00:00+00,-1178.33,2022/07/08 00:00:00+00
District Attorney,PRINCIPAL ASST DIST ATTY,Management,150236.8,2250.0,0.0,166475.22,2006/01/13 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,3907.5,0.0,0.0,3907.5,2021/11/13 00:00:00+00,0.0,
Public Works,HWY LABOR CREW LEADER,Association of Municipal Employees (AME-Blue Collar),72920.33,2250.0,14872.17,94951.92,2001/06/04 00:00:00+00,0.0,
Civil Service,EXAMINER IV (PT),Temp,6531.75,0.0,0.0,6531.75,2001/10/20 00:00:00+00,0.0,
District Attorney,BUREAU CHIEF,Management,193950.2,2250.0,0.0,214408.92,2000/08/10 00:00:00+00,0.0,
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),78257.6,0.0,253.0,79519.02,2013/07/08 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),80313.7,3450.0,13073.02,121925.06,2016/10/03 00:00:00+00,0.0,
Economic Develop & Planning,SENIOR LEGAL SECRETARY,Association of Municipal Employees (AME-White Collar),41143.7,1516.66,2691.78,48759.07,1991/09/30 00:00:00+00,1561.4,2022/08/30 00:00:00+00
Public Works,TRAFFIC ENGINEER II,Association of Municipal Employees (AME-White Collar),93609.6,0.0,0.0,94785.02,2016/08/29 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2452.5,0.0,0.0,2452.5,2022/07/05 00:00:00+00,0.0,
Public Works,MAINTENANCE MECHANIC III,Association of Municipal Employees (AME-Blue Collar),54080.2,0.0,8005.53,63118.15,2014/04/14 00:00:00+00,0.0,
Social Services,CASEWORKER,Association of Municipal Employees (AME-White Collar),41824.84,0.0,0.0,41824.84,2021/07/26 00:00:00+00,0.0,2022/11/11 00:00:00+00
Audit & Control,ASST PAYROLL COORDINATOR,Association of Municipal Employees (AME-White Collar),86999.86,2600.0,6884.93,100944.21,1986/05/19 00:00:00+00,0.0,
Probation,PROBATION ASSISTANT,Association of Municipal Employees (AME-White Collar),17295.2,0.0,27.71,18931.84,2022/07/11 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,19525.0,0.0,0.0,19525.0,2023/01/18 00:00:00+00,0.0,2022/08/02 00:00:00+00
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),15822.39,1041.67,117.86,19247.25,2007/04/04 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2475.0,0.0,0.0,2475.0,2022/06/27 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,6900.0,21277.3,197142.8,2010/06/28 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,1344.0,0.0,0.0,1344.0,2016/04/23 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORD ASSISTNT,Temp,4825.0,0.0,0.0,4825.0,2022/06/17 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,628.0,0.0,0.0,628.0,2018/10/13 00:00:00+00,0.0,
Public Works,DUPLICATING MACH OP III,Association of Municipal Employees (AME-White Collar),63659.6,0.0,0.0,64720.02,2014/06/02 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),106867.33,1350.0,34706.33,153716.02,2015/09/14 00:00:00+00,0.0,
Sheriff,UNDERSHERIFF,Management,141134.6,2600.0,0.0,204072.21,1989/01/23 00:00:00+00,0.0,
Medical Examiners Office,SR MORGUE AMBULANCE DRVER,Association of Municipal Employees (AME-Blue Collar),63552.8,1750.0,63078.5,132276.72,2005/08/15 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,Probation Officers Association (POA),99800.2,2250.0,13620.18,116370.38,2002/12/02 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,11500.0,4480.49,184945.99,2002/04/22 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,17825.0,28198.42,215988.92,1991/11/01 00:00:00+00,0.0,
Social Services,CASEWORK ASSISTANT,Association of Municipal Employees (AME-White Collar),64246.9,1750.0,8210.6,77769.92,2001/05/14 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),105968.71,4600.0,32034.14,162342.56,2014/12/15 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),113841.08,10350.0,57033.39,243113.87,2004/06/21 00:00:00+00,0.0,
Retiree,PUBLIC WORKS CAPITAL PROJ MGR,Association of Municipal Employees (AME-White Collar),0.0,-366.67,0.0,62265.86,2000/11/13 00:00:00+00,55189.23,2021/11/28 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2828.75,0.0,0.0,2828.75,2022/05/01 00:00:00+00,0.0,
Probation,PROBATION SUPERVISOR,Probation Officers Association (POA),112754.15,1750.0,0.0,121960.08,2003/08/04 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,3250.0,23318.16,149357.23,2001/09/03 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",ADMINISTRATIVE ASSISTANT,Association of Municipal Employees (AME-White Collar),40345.25,729.17,2135.6,52293.17,2010/08/09 00:00:00+00,8381.46,2022/08/28 00:00:00+00
Social Services,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),55341.19,1750.0,210.6,60185.21,2003/06/09 00:00:00+00,0.0,
Suffolk County Ethics Board,SECRETARY,Association of Municipal Employees (AME-White Collar),63335.15,0.0,17.6,63465.17,2021/08/10 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),15708.5,0.0,976.73,18451.33,2022/08/29 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),47771.1,0.0,1356.03,57283.63,2021/10/25 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD (Temporary),Temp,7000.0,0.0,0.0,7000.0,2022/03/11 00:00:00+00,0.0,
District Attorney,ASST DISTRICT ATTY,Management,69891.27,0.0,0.0,77803.69,2020/10/13 00:00:00+00,0.0,
Health Services,REGISTERED NURSE,Association of Municipal Employees (AME-White Collar),10028.0,0.0,218.03,10246.03,2022/10/18 00:00:00+00,0.0,2022/12/21 00:00:00+00
Parks,PARK RANGER I (SEASONAL),Temp,7812.0,0.0,0.0,7812.0,2022/11/16 00:00:00+00,0.0,2022/11/01 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1950.0,45112.98,163011.44,2011/10/31 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,3298.5,0.0,0.0,3298.5,2022/02/14 00:00:00+00,0.0,2022/05/16 00:00:00+00
County Clerk,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),1359.52,0.0,0.0,1359.52,2021/01/25 00:00:00+00,0.0,2022/01/07 00:00:00+00
County Clerk,COURIER,Association of Municipal Employees (AME-Blue Collar),28838.02,0.0,0.0,29235.84,2021/12/06 00:00:00+00,147.82,2022/10/30 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),56197.33,0.0,33472.02,94795.5,2019/01/14 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,884.38,0.0,0.0,884.38,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2655.0,0.0,0.0,2655.0,2022/05/01 00:00:00+00,0.0,
County Executive,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),8950.5,0.0,0.0,8950.5,2022/10/24 00:00:00+00,0.0,2021/06/12 00:00:00+00
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,2250.0,38.14,72277.36,2001/05/29 00:00:00+00,0.0,
District Attorney,SENIOR ASST DISTRICT ATTY,Management,123640.6,1750.0,0.0,136707.02,2004/09/13 00:00:00+00,0.0,
Parks,PARK RANGER IV,Association of Municipal Employees (AME-White Collar),41230.26,0.0,0.0,41342.68,2022/06/13 00:00:00+00,0.0,2022/04/27 00:00:00+00
Parks,PARK ATTENDANT I (PT),Temp,2408.5,0.0,0.0,2408.5,2022/11/14 00:00:00+00,0.0,2022/11/14 00:00:00+00
Probation,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60659.5,2250.0,0.0,66061.92,2000/11/20 00:00:00+00,0.0,
Parks,AUTO EQUIPMENT OPERATOR,Association of Municipal Employees (AME-Blue Collar),36445.7,0.0,0.0,38431.72,2011/06/04 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),97863.9,4025.0,25689.94,146036.96,2014/07/14 00:00:00+00,0.0,
Public Works,CLERK OF THE WORKS,Association of Municipal Employees (AME-White Collar),72178.4,2250.0,6986.92,85713.74,2002/02/25 00:00:00+00,0.0,
Law,ADMINISTRATIVE ASSISTANT,Association of Municipal Employees (AME-White Collar),69684.0,1750.0,0.0,75078.42,2004/11/08 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,10925.0,66816.64,253331.14,2003/10/14 00:00:00+00,0.0,
County Executive,FED,Association of Municipal Employees (AME-White Collar),55042.43,0.0,0.0,55775.85,2014/09/15 00:00:00+00,0.0,
Traffic Violations Bureau,TRAFFIC COURT SPECIALIST,Association of Municipal Employees (AME-White Collar),35466.33,0.0,0.0,35466.33,2017/03/13 00:00:00+00,0.0,2022/09/09 00:00:00+00
Board Of Elections,ELECTION CLERK 07,Board of Elections,62567.15,1250.0,19721.12,86960.69,2010/11/11 00:00:00+00,0.0,
Public Works,VECTOR CONTROL AIDE,Association of Municipal Employees (AME-Blue Collar),41360.4,0.0,12837.55,54310.37,2019/11/04 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1350.0,15871.19,133124.57,2014/07/14 00:00:00+00,0.0,
Civil Service,EXAMINER V (PT),Temp,3254.0,0.0,0.0,3254.0,2001/10/20 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),122196.1,12650.0,110101.66,298378.66,2003/10/20 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2505.0,0.0,0.0,2505.0,2021/10/25 00:00:00+00,0.0,
Social Services,ASST MGR OF INFO TECH OPERATNS,Association of Municipal Employees (AME-White Collar),131676.6,2600.0,0.0,141021.02,1992/10/13 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,16675.0,32149.54,224414.04,2003/10/20 00:00:00+00,0.0,
Parks,PRINCIPAL CONTRACTS EXAMINER,Association of Municipal Employees (AME-White Collar),102556.01,2400.0,2949.8,113259.23,1996/11/04 00:00:00+00,0.0,
Social Services,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),56969.79,2250.0,0.0,62263.21,2000/02/10 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),154173.4,15525.0,66525.42,257655.22,1995/05/22 00:00:00+00,0.0,
Public Works,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),35693.4,0.0,0.0,35805.82,2019/07/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1950.0,15063.62,132962.08,2010/01/28 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1510.0,0.0,0.0,1510.0,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST V,Association of Municipal Employees (AME-White Collar),106952.6,2600.0,0.0,115012.02,1992/12/14 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),6880.06,22125.0,177.04,365056.5,1985/02/25 00:00:00+00,286804.8,2022/01/09 00:00:00+00
Social Services,CASEWORKER,Association of Municipal Employees (AME-White Collar),52998.4,0.0,2032.68,55143.5,2021/02/22 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2325.0,0.0,0.0,2325.0,2021/07/06 00:00:00+00,0.0,
Retiree,MAINTENANCE MECHANIC IV,Association of Municipal Employees (AME-Blue Collar),102.13,-212.5,2023.36,42976.31,1981/03/02 00:00:00+00,36706.31,2021/11/28 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),16879.5,17250.0,300.08,136953.47,2003/10/20 00:00:00+00,77117.66,2022/02/06 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,8340.38,0.0,0.0,8340.38,2022/03/10 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,1323.83,54331.54,2021/12/06 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2235.0,0.0,0.0,2235.0,2022/07/01 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),92191.0,1250.0,924.25,95065.25,2009/11/16 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1342.5,0.0,0.0,1342.5,2022/05/01 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),194214.59,17825.0,103263.24,342277.51,1992/09/08 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,978.75,0.0,0.0,978.75,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2055.0,0.0,0.0,2055.0,2022/07/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),50947.97,0.0,12770.17,67719.74,2019/01/14 00:00:00+00,0.0,
Parks,PARK SUPERVISOR I,Association of Municipal Employees (AME-Blue Collar),63724.44,2250.0,3215.78,72818.64,2001/04/20 00:00:00+00,0.0,
Police,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),48121.1,2250.0,240.74,53663.26,1998/01/12 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),47077.84,0.0,40.82,47709.08,2012/11/19 00:00:00+00,0.0,
Social Services,PRINCIPAL ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),44374.2,0.0,0.0,45045.62,2018/11/19 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,2750.0,65018.05,192083.27,2003/11/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1051.88,0.0,0.0,1051.88,2022/05/01 00:00:00+00,0.0,
Police,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60419.2,1750.0,7885.76,78005.73,2007/12/17 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),33684.83,1940.63,273.64,39607.92,1998/08/20 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),89653.62,3450.0,15989.37,128308.75,2016/10/03 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),49921.43,1750.0,0.0,52554.17,2004/04/05 00:00:00+00,0.0,
Sheriff,CHIEF OF STAFF (SHERIFF),Management,217315.26,4250.0,0.0,277199.94,1992/01/21 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),97863.9,4025.0,10412.19,131759.21,2015/09/14 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1236.25,0.0,0.0,1236.25,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,2750.0,55609.67,179948.68,2003/11/03 00:00:00+00,0.0,
Audit & Control,ADMINISTRATOR I,Association of Municipal Employees (AME-White Collar),79908.21,2250.0,15001.7,101334.33,1997/06/23 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2100.0,0.0,0.0,2100.0,2022/07/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,875.0,0.0,0.0,875.0,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),61436.27,1950.0,20917.05,93347.47,2005/11/14 00:00:00+00,-180.98,2022/07/22 00:00:00+00
Health Services,DRUG COUNSELOR,Association of Municipal Employees (AME-White Collar),76344.4,2250.0,353.68,84383.5,2000/06/12 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),162959.7,13800.0,39588.94,240243.62,1992/07/06 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,12204.0,0.0,0.0,12204.0,2022/10/17 00:00:00+00,0.0,2022/10/31 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2122.5,0.0,0.0,2122.5,2022/07/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1265.0,0.0,0.0,1265.0,2022/05/01 00:00:00+00,0.0,
District Attorney,ASST DISTRICT ATTY,Management,25213.0,0.0,0.0,25325.42,2022/08/15 00:00:00+00,0.0,
Civil Service,PERSNL TRANSACTIONS SUPVR,Association of Municipal Employees (AME-White Collar),63659.56,1750.0,1525.76,70232.74,2006/01/17 00:00:00+00,0.0,
Police,RESEARCH ANALYST,Association of Municipal Employees (AME-White Collar),76283.2,1250.0,1528.78,83059.4,2009/10/13 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST II,Association of Municipal Employees (AME-White Collar),68630.6,1250.0,1013.86,71771.88,2010/05/24 00:00:00+00,0.0,
Information Technology Service,SR PROGRAMMER ANALYST,Association of Municipal Employees (AME-White Collar),106952.6,1750.0,0.0,114162.02,2003/09/02 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,16675.0,207872.66,393513.16,2001/06/04 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),43611.93,0.0,17684.19,65772.1,2021/04/12 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),126105.9,16675.0,72255.05,264519.55,1993/12/06 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,16675.0,28290.8,220555.3,1993/03/29 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,625.0,0.0,0.0,625.0,2022/09/01 00:00:00+00,0.0,
Audit & Control,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),56056.31,1750.0,0.0,60849.73,2006/12/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,851.25,0.0,0.0,851.25,2022/05/01 00:00:00+00,0.0,
Police,ADMINISTRATIVE ASSISTANT,Association of Municipal Employees (AME-White Collar),72939.19,2250.0,18485.18,97436.79,2002/08/19 00:00:00+00,0.0,
Probation,PROBATION OFFICER (SP SPKG),Probation Officers Association (POA),92201.63,2600.0,934.98,96436.61,1991/02/04 00:00:00+00,0.0,2022/12/23 00:00:00+00
Social Services,DIV ADMIN OF SOC SERVICES,Association of Municipal Employees (AME-White Collar),109449.0,1950.0,0.0,156884.85,1991/01/14 00:00:00+00,38886.26,2022/10/28 00:00:00+00
Social Services,FUEL ASSISTANCE WORKER I,Temp,4305.0,0.0,0.0,4305.0,2022/10/24 00:00:00+00,0.0,
County Clerk,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),38371.19,0.0,489.84,38973.45,2018/06/04 00:00:00+00,0.0,
Sheriff,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),49921.4,1750.0,10247.27,64665.09,2006/04/24 00:00:00+00,0.0,
